title, genre, comment
씽,"뮤지컬,애니메이션",2016년 마지막 영화선택으로 후회없었습니다~!
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",단지 연인에 그친것만이아닌 우리가 삶속에서 잊고있었던 많은 사람들과의 인연을 돌아보게하는것같다.모두가 이렇게 드넓은 우주에서 같은 시간대를 살아가는것만으로도 엄청난 행운이 아닐까? 라고.
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",잘 만들었다. 스타워즈 시리즈  중 스타일리쉬한 작품인 듯.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",4번까지 봐도 안질릴 영화 그만큼 너무 여운이 강하다
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",폭풍같은 잔잔함을 주는
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",조금은 아쉬운듯한 느낌
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",인생이란 건 희극이로구나
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",스타워즈팬은 매우 좋아할만함...다만 스타워즈 3와4사이의 외전형식이기때문에 스타워즈에 관심이 없던 애인과 보러간다면....중간에 졸고있는 애인을 보게 될것임. 후반에는 깼음. ㅋ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",本?に最高だったわ。秒速5センチ以上よ感動だわ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",1200년만에 돌아온 혜성같은 애니메이션.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",힐링힐링 ~ 또보고싶어요 ! ㅋㅋ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화가 끝나고 지갑을 열어보자 마자 아쉬움이 묻어 나왔다..왜 이런 영화를 3번밖에 더 못보는 걸까 하고.인생최고의 영화
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",명작 ㅋㅋ영상 음악 짱ㅋㅋ ㅋㅋ
사랑하기 때문에,"코미디,멜로/애정/로맨스",가볍게 보기 좋아요. 가족끼리 봐도 연인끼리 봐도 좋음! 다 보고 난 후에도 마음이 훈훈해져요
아브릴과 조작된 세계,"애니메이션,SF",프랑스식 상상력을 조금더한 짬뽕 표절애니 그래도 잘봤다
여교사,드라마,민낯은 김하늘의 얼굴만은 아니였다젊지도 않고 배경도 없는 을의 민낯을 본 것 같아씁슬하지만 화장을 지운 후 친근감과김하늘의 당당한 연기가 좋았다
패신저스,"모험,SF",재미있다. 오로라의 최후가 궁금하다.
씽,"뮤지컬,애니메이션",노래랑 애니메이션 너무좋았어요~~^^
마스터,"액션,범죄",굳재미있게봤음 연기력굳
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",최고... 기다린 보람이;;근데 마무리가 좀 급한 감이 있다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",스토리 ost  작화 모든게 좋았고 시달소 본이후 최고의 극장판 애니 입니다 . . .  하 후유증
마스터,"액션,범죄",간만에 재밌게 번 영화2시간 반이 전혀 지루하지 않았다
럭키,코미디,유해진이기에 가능한 영화 간만에 재미있게 봣다
마스터,"액션,범죄",진짜 잼잇어요 강동원최고입니다
브리짓 존스의 베이비,"코미디,멜로/애정/로맨스",기대보단 다소 실망스러운 부분이 있었지만전체적으로 기분좋은 영화
형,"코미디,드라마",어린나이에 서울올라와서 혼자사는데 동생이한명있습니다 연락도잘안하고 어색한사이가 되버렸는데 영화보는내내 동생이랑 어렸을때 놀던때가 떠오르더라구여.. 좀 더 멋진형이 되려고 새악했는데 그게아니라 좋은형이 되야겠다 생각이드네요 담에만나면 욕하면서 잘해줘야지
검은 사제들,"미스터리,드라마","생각보단,잼있다.강동원멋있다."
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",애들이 너무 좋아해요 잘봤습니다
마스터,"액션,범죄",좀지루한감이 있지만 정의가승리한다~
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",30대에 보면 좋습니다.
씽,"뮤지컬,애니메이션","더빙한 유명 배우들의 노래 실력에 놀라고, 아름다운 가사와 신나는 리듬에 지루할 틈이 없는 영화. 실감나는 실사는 덤...^^"
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",정말 좋은영화인거 같아요 저도 와이프랑 어릴쩍 사귀다 헤어져서 몇년뒤 우연히 다시만나게되어 결혼했는데  인연의 끈이라는게 정말 있는거같아요 어제같이보면서 많은생각을 했습니다.애니메이션이지만 천만예상해봅니다.
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",비현실과 현실의 적절한 조화 그리고 눈과 귀가 즐거워서 보는 내내 몰입이 되었다
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",최고의 영화 영상 노래 모두 짱
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",보는 내내 눈과 귀가 즐거운 영화
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화  보다가  몇번이나  소름이  돋았는지  모르겠다  최근에  본  일본 애니  중에  단연 최고다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",설레고 즐거운 영화였다.  예술에는 국경이 없다고 본다. 일본꺼라고 무조건 배척하지 말고 선입견 없이 본다면 즐겁게 즐길 수 있는 영화라고 본다.
프리퀀시,"범죄,드라마,SF,스릴러","연출,스토리,개연성이 잘빠졌다."
"당신, 거기 있어줄래요","판타지,드라마",변요한과 김윤석의 감정씬이 돋보이는 마음이 훈훈해지는 영화 우정과 사랑
패신저스,"모험,SF",너무 신선했어요. 내용전개도 결말도 참 좋았습니다.내가 저런상황이면 어떤 선택을 했을까 하고 생각하게 만들었어요. 일단 액션sf영화는 아니고 인간의 본질과 삶을 바라보는 관점등 ...혼자보던 우주의 공포스러움과 둘이서 함께보는 우주의 다른 느낌등등
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",그냥 그 자체로 재미있었다.
마스터,"액션,범죄",rally0521님께서 관람하신 영화입니다.
마스터,"액션,범죄",어머니랑 같이 영화보러갔다왓는데 어머니가 좋아하시네요
패신저스,"모험,SF",비주얼깡패영화다!! 배우들 비주얼은 말할 것도 없고 우주선도 엄청 신기하게 생겼고 특히 전망대 진짜 대박! 타보고 싶어짐 ㅋㅋㅋ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화관에 가서 보는게 아깝지 않을 애니엿습니다.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",존잼 진짜 간만에 기분좋은 영화 하나봤다
마스터,"액션,범죄","부산행이후로 한국(상업)영화 끊었다가 오랜만에 재미있게 봤어요. 이병헌, 강동원은 말할 것도 없고 김우빈, 진경님 연기가 특히 기억에 남네요. 내용이 사이다라 대리만족 되고 1점주신 분들이 오히려 알바같아요."
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",완전 강추~~ 이건 몇번을 봐도 질리지 않을거 같아요 ㅎㅎ
형,"코미디,드라마",이제서야 평점 다는데 진짜 웃기도 엄청 웃고 울기도 엄청 울었음 영화관에서 운거 처음임 진짜 내 인생 영화 조정석 도경수 연기도 짱
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",와 애니 퀄리티대박..!! 정말 도쿄에있는줄알았다. 내가살던 도쿄의모습이그대로였다. 그나저나 정말 영화ㅠㅠ마지막엔 나도모르게 짠하면서 그 후는 어떻게되었을까라는 궁금증이 생겼다.
사랑하기 때문에,"코미디,멜로/애정/로맨스",무조건 재미만있을거라는 생각을하고 간 영화였는데 사랑의 큐피트역할도 제대로해주고 노부부의 사랑을 보며 나도 늙어서 저러한 사랑을 하고싶단 생각이들었다.
마스터,"액션,범죄",하 역시 통쾌 상쾌!! 사기꾼들은 다 감방갔으면좋겠다
마스터,"액션,범죄",멋지네요.별루였던이미지가 확바뀌네요
씽,"뮤지컬,애니메이션",스토리가잇는 영화에여~ 아이들이 재미잇게봣구...감동잇는 영화인것 같으네요~~~
마이펫의 이중생활,"애니메이션,코미디,가족",재미잇엇어요~ 아이들도 잘봣구요...저도 잘봣네요
마스터,"액션,범죄",눈호강도 눈호강인데 스토리도 재미있었어여@@
씽,"뮤지컬,애니메이션",넘나 재밌음 ㅌㅋㅋㅋ 꼭 보세용 ㅋㅋ
"당신, 거기 있어줄래요","판타지,드라마",강추합니다살면서 소중한 사람들을 생각하게 하는 영화
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",내 인생 최고의 영화입니다.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",정말 최고였습니다. 상황도 상황이었지만 중간 중간 깔리는 OST는 정말 최고였어요.
패신저스,"모험,SF",인간이 느끼는 가장 큰 공포는 외로움...혼자가 아니라 오늘도 행복~~~
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",마지막10분이 평을 바꿔버렸네요...  아쉽
마스터,"액션,범죄",오랫만에 재밌게 본 영화다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",십덕도 만족할 영화. 오덕 오덕 하면서 평점 테러하는 인간들은 영화는 봤을까.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",초속5cm를 시작으로 별을 쫒는아이 언어의 정원 크로스로드등 신카이마코토 감독님의 작품을 매우 좋아하기에 너의이름은 제작발표 뉴스가 떳을때부터 기대중이었다. 역시나 나의 기대에 부응해주는 재미와 감동을 선사했다. 보면 볼수록 새로운 느낌을 받는다
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",평범한듯했으나 평범하지않은
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",미쳤어요 너무재미있습니다!!
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",센과 치히로보단 아니지만 나름 명작
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",졸잼꿀잼허니잼까지다잡았당
부산행,"액션,스릴러",한국형좀비라그런지 바쁘더라고
"당신, 거기 있어줄래요","판타지,드라마",재밌었어요ㅎㅎ배우들이 연기를 다 잘해서 몰입감도 좋았습니당
마스터,"액션,범죄",시간가는줄몰랐음 강동원대존잘..
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",처음에 스토리가 뭔내용인지 몰랏는데 갈수록 반전이 일어나며 조각들이 맞춰질때 충격이었다.여기서 센과치히로랑 비교하는사람들 있는데이 영화만보고 이영화에 대해서만 평점을 쳐 남기면되는걸 굳이 비교를해야하나? 난 재미있게봤지만 이해안가는부분이잇으므로8
"당신, 거기 있어줄래요","판타지,드라마",말로 표현하기 벅찬 영화입니다...
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",10점을 안 줄 수가 없는 영화.. 감동적이고 영상미도 뛰어나요!!존잼ㅠ
사랑하기 때문에,"코미디,멜로/애정/로맨스",개 존잼인데 알바라 하는놈들 영화 보기는 한거냐??
판도라,"드라마,스릴러",눈물만나고 한국의 현실을 담은 영화 한국떠야지..
아기배달부 스토크,"애니메이션,코미디,가족",예상외로 볼만하네요..
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",감동감동감동 ㅜㅜㅜㅜ 엔딩에 여운이 남는다
전국노래자랑,코미디,감동도 재미도 있었습니다. 잘 봤습니다.
언어의 정원,애니메이션,ある日、新宿御苑の近所で一人で?いてた時を思い出した。
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",개봉전에 보긴했지만 너무 재미있어요!! 다시보고 싶을정도로 재미있네요!!
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",또 보러갔음....다음에 또봐야지
루돌프와 많이있어,애니메이션,재미있지만 조금은 지루한감도 있어요 ㅋㅋ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스","내용, 음악, 작화 모든것이 잘어울렸습니다. 조금 길게 느껴지긴 했습니다만 재미있었습니다."
마스터,"액션,범죄",재밌네요극의전개나스토리나좋앟습니다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",여운이 많이 남네요. 잼잇습니다. 강추
패신저스,"모험,SF",평은 안좋던데 생각보다 재밋엇요 / 생각해볼 것이 많은 영화
사랑하기 때문에,"코미디,멜로/애정/로맨스","재미있게 웃다가 왔습니다^^♡가족,친구,연인들  모두와 봐도 되는 영화!나중에 한번더 보고 싶네요"
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",약간 뻔하고 긴장감이 별로 느껴지지는 않았지만 작화는 굿 시간 때우기용으로 좋음
럭키,코미디,강추입니다ㅎㅎ꼭보러가세요
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스","관람객 평점을 작성하시면, 네이버페이 포인트 500원을 드립니다!갓애니"
판도라,"드라마,스릴러",진짜 스토리도 완전 좋고 김남길 감정도 다 공감돼서 더 슬펐던 영화!! 영화보면서 이렇게 펑펑 울었던 적이 없는데 진짜 이 영화가 나를 엄청 울게 만들었음!! 특히 마지막 부분에서 카메라 보면서 엄마한테 말하던 부분이 짱 슬펐음!!
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",인생 영화로 꼽을 만큼 좋은 영화 였습니당
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",정말 재미있었습니다. 다시한번 보고 싶은 영화입니다. 중간에 언어의정원 선생님이 나왔다고 느끼는건 저뿐일까요 ? ㅎㅎ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",별점 1점 주는넘들 전부 알바냐??
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",2번은봐야이해될꺼같다
마스터,"액션,범죄",재밋는영화 스릴감넘치고 빠져드는영화
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",스토리는 뻔하지만 신카이 마코토의 퀄리티로 씹어버렸다.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",너의이름은 난 잼있었는뒠ㅋ
마스터,"액션,범죄",너무재밋고 잘봤습니다
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF","스타워즈 본편 시리즈 = 금수저 이야기,   로그원  =  흙수저 이야기  ㅠㅠ   슬픈 이야기다..."
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",갔노라 보았노라  느꼈노라 갬성갬성
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",여운이 남는다....
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",다시한번 느낀다 디즈니가 자금빨 나라빨로 아무리 그렇게 흥행을 이끌어도 작품성은 일본애니에 못미친다는것을..그것을 신카이 마코토가 증명했다
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",재즈가 흐르는 가족영화~~
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화를 보고 바로 또 보고싶을정도로 재미있네요
패신저스,"모험,SF",보는 내내  심장이 쫄깃거렸어요 ^0^
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스","너무 가슴이뭉클하고 나는 절대로 잊으면 안되는사람이누군가 생각도들고...배경과음악,,다너무좋아요ㅜㅠ작은상영관에서봤는데 마지막노래듣고나가려는데 사람들그냥바로다나가서 뻘쭘 일본애니메이션 특유의 그런느낌좋아하는사람아나면 지루해할수도있어요 내옆옆사람들처럼"
로그 원: 스타워즈 스토리,"액션,모험,판타지,SF",스핀오프로써 이보다 잘만들수없다. 너무 재미있게 봤음!!!
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",말이 필요없다. 얼마를 주던 다시 볼 것같은 영화신카이 마코토 감독이 드디어 관객에게 원하던 결말을 주었다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",말이필요없는작품이다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",아직 보진 않았지만 점수를 짜게 주는 박평식이 7점을 줬다면 이 영화는 8~9점짜리에 잘만든 영화라는걸 알 수 있겠네요. 얼른 보러가야겠습니다.
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스","감상 포인트: 뛰어난 광원 묘사, 후반부 황혼에서의 장면, '초속 5cm' 오마주아쉬운 점: 감정이 발전하는 과정이 많이 생략됨"
닥터 스트레인지,"액션,모험,판타지",쓰리디로 봤으면 더욱더 재밌있었을것같습니다 여러분들은 기회가된다면 쓰리디를 보십시오
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",기대를 많이 하고 갔었는데 신카이 마코토 감독을 내가 너무 과소평가하고 있었던거 같다.
씽,"뮤지컬,애니메이션",너무 감동적이게 잘 봤습니다 봐도 후회하지않는 애니메이션입니다 꼭보세요
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",개인적으로 일본애니 별로 안좋아한다. 근데 자꾸 오타쿠영화라면서 1점주는것들은 이 영화 제대로 보고 평점주는건가?  이런 인간들땜에 8점주려다 10점준다. 그냥 수준을 따진다면 시간을 달리는 소녀급 정도로 볼수있다.
씽,"뮤지컬,애니메이션",10살아이랑 봤는데 넘 재미있어 했어요~^^
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",연기 완전 몰입되고 잘봤습니다
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",너무감동적이에요중간중간 웃기기도하고ㅋㅋ
라라랜드,"드라마,뮤지컬,멜로/애정/로맨스",최고의 영화 셉스 그리고 재즈
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",영화 보면서 몇 번이나 소름이..ㄷㄷ
씽,"뮤지컬,애니메이션",두번봤는데 아이들이 잼있다함
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",이번 기대하며 시사회에 갔었는데 정밀하게 표현한 부분이라던가 눈의 띄는 자연스러운 색감이라던가에 정말 감탄했습니다 그리고 중간중간에 ost도 나왔는데 상황에 정말 잘 어울려서 좋았습니다 나중에 또 극장에 가서 봐도 후회가 남지않을 정도의 작품입니다
패신저스,"모험,SF",설정바꿔 여자가 먼저 깨어나 일년넘게 혼자 살면 남자하나 골라 실수인척하고 깨울수도 ...지도 살려고..바텐터로봇도 좋았고 엔딩장면에 우주선을 에덴동산 만들어놓은 것도 판타스틱했다 그래비티보다 훨씬 잘만들었다싶은데 평론가들 평점테러해놨네. 영화 좋다
사랑하기 때문에,"코미디,멜로/애정/로맨스",영화 보는 내내 행복했다..ㅎ.ㅎ
마스터,"액션,범죄",김우빈 이영화로 인생캐릭 만났다 ㅋㅋㅋ
너의 이름은.,"애니메이션,드라마,멜로/애정/로맨스",음악하고 영화가 같이 어우러져 좋았다
